food	5.791653621240177E-4
meat	2.650186046601548E-4
fruit	2.553056683424899E-4
meal	2.2009732437455154E-4
lunch	1.9719004494841432E-4
vegetable	1.7042725920389412E-4
fish	1.4199014232684523E-4
dinner	1.394579359994201E-4
breakfast	1.2878447643714305E-4
anything	1.0983098724481893E-4
healthy food	7.810127042205494E-5
calorie	7.348303805062564E-5
egg	6.974466955288658E-5
insect	6.48275865510216E-5
pizza	6.480894339304673E-5
pussy	6.45644074661537E-5
ice cream	6.004269469297871E-5
apple	5.583829403124743E-5
plant	5.5176869893810164E-5
grass	5.506837334316427E-5
veggie	5.4699151919463425E-5
junk food	5.370291718442639E-5
bread	5.005713643763227E-5
leaf	4.736188369447025E-5
healthy diet	4.717223403450874E-5
sandwich	4.5785236993253136E-5
cake	4.519232388401033E-5
seed	4.4147616531992874E-5
solid food	4.410060436131526E-5
small meal	4.3199178414702145E-5
habit	4.276651542014977E-5
balanced diet	4.18959840184774E-5
pork	4.167285691445262E-5
fast food	4.1557888837853303E-5
banana	4.105730030028937E-5
chocolate	4.102842518447317E-5
salad	3.934892742553824E-5
diet	3.828504103837667E-5
protein	3.7973440343128785E-5
snack	3.747311148820711E-5
flesh	3.739048501439989E-5
something	3.6839881408387795E-5
chicken	3.484964839042952E-5
animal	3.4722246066282886E-5
cookie	3.398535484954166E-5
good food	3.3435232978202676E-5
berry	3.206564497957103E-5
sushi	3.19098845272992E-5
rice	3.152522474158012E-5
candy	3.13744220968284E-5
sweets	3.0510839684501554E-5
carbs	2.997672354835047E-5
cereal	2.8173253281895968E-5
red meat	2.7234881788791176E-5
grain	2.6577284718300487E-5
right food	2.541522720195983E-5
cheese	2.4741123467686662E-5
nut	2.4475534371050964E-5
fresh fruit	2.3484422479703793E-5
serving	2.3454676386937426E-5
everything	2.3134094200111743E-5
steak	2.2666346634632445E-5
cum	2.2637028234012984E-5
dairy	2.2350073360341427E-5
seafood	2.2344309809808787E-5
burger	2.233973250503575E-5
bean	2.2158945922267303E-5
processed food	2.2018584081510396E-5
popcorn	2.200728204897173E-5
poop	2.162118673562254E-5
pie	2.1605077566713E-5
beef	2.1600987961706236E-5
sugar	2.1296376871598027E-5
hot dog	2.0709867735357297E-5
supper	2.0563787455338287E-5
pasta	2.0531725285654005E-5
real food	2.0085762906316186E-5
raw food	1.9936921348625117E-5
spicy food	1.9902670637419265E-5
leftover	1.9809609702022664E-5
worm	1.9617409218123097E-5
carrot	1.9481246627946217E-5
hamburger	1.9222856371091732E-5
crow	1.8980364190499218E-5
whole grain	1.8920340581740343E-5
soup	1.8897747139754005E-5
potato	1.8785398662704005E-5
yogurt	1.8338475794356597E-5
corn	1.8024411352177014E-5
chip	1.7773143559975E-5
thing	1.7395913475706317E-5
lot	1.7336593927510496E-5
whole food	1.6599611371272535E-5
same food	1.6596563015585693E-5
carbohydrate	1.6477472461977153E-5
dairy product	1.6196180058870353E-5
dog food	1.6039004943731405E-5
oatmeal	1.5644296454011162E-5
dessert	1.5586877593827435E-5
bug	1.54669112482458E-5
nutritious food	1.5049910975027615E-5
shit	1.4989182640538445E-5
organic food	1.4812778108491776E-5
forbidden fruit	1.3963799409663937E-5
crab	1.3761287056411611E-5
animal product	1.3729005678481335E-5
ass	1.3667270241436191E-5
donut	1.3483796133219357E-5
gluten	1.3439716806908187E-5
feces	1.3200987169642568E-5
contaminated food	1.314121319568099E-5
large meal	1.3076351904433407E-5
fatty food	1.3046783233592529E-5
tomato	1.3022490969229764E-5
turkey	1.2969597016966756E-5
hay	1.295490669590325E-5
alga	1.2808979165288247E-5
peanut butter	1.264675508895827E-5
chinese food	1.2529202723178313E-5
balanced meal	1.2393225406396263E-5
mushroom	1.2380737855550873E-5
small fish	1.2207599272044992E-5
brain	1.1971188622412102E-5
peanut	1.1965318949073036E-5
healthy meal	1.1868295019877775E-5
snail	1.1816401590880931E-5
fiber	1.178997154565595E-5
big meal	1.1784271350205649E-5
watermelon	1.1724447150461133E-5
humble pie	1.1705578051421758E-5
cheeseburger	1.169943447240454E-5
cupcake	1.1444022068023423E-5
fries	1.1408690315428118E-5
broccoli	1.1337492090312707E-5
shrimp	1.1291574794791554E-5
unhealthy food	1.1155952663124152E-5
noodle	1.0904512632266225E-5
cracker	1.089881288911722E-5
bird	1.0839382491833261E-5
salmon	1.0811883519512968E-5
natural food	1.0776452971054669E-5
stuff	1.0676635297205834E-5
soft food	1.0573633252755714E-5
french fries	1.0560333501292033E-5
dish	1.054457957340083E-5
raw meat	1.0535132996958795E-5
green	1.0502524362695685E-5
frog	1.0417650232730181E-5
pancake	1.024310026176912E-5
portion	1.0080352487817416E-5
spaghetti	1.007310958744488E-5
taco	1.0034172435494397E-5
solids	9.938544465399642E-6
fat	9.93443244369478E-6
pea	9.823013567131775E-6
grape	9.760779450321537E-6
fresh food	9.741077341136315E-6
aphid	9.708115472725687E-6
mexican food	9.699921913292263E-6
well-balanced diet	9.534682453687958E-6
dog	9.486622289833983E-6
fried food	9.410084478756952E-6
burrito	9.327342747273211E-6
human flesh	9.289533773909594E-6
bite	9.164774400075384E-6
dry food	9.153933066428726E-6
utensil	9.150267015619644E-6
pound	9.115425292380221E-6
honey	9.072820731584866E-6
snake	9.063372738270856E-6
flower	9.039890639045051E-6
mice	8.966709479050808E-6
healthy breakfast	8.909918873220148E-6
time	8.847199351123232E-6
different food	8.763091829365268E-6
junk	8.68004537241886E-6
bark	8.613983962899513E-6
oyster	8.560275081873588E-6
lobster	8.560275081873588E-6
root	8.441758809110718E-6
strawberry	8.391597949507454E-6
shellfish	8.389747030487767E-6
plankton	8.375884795268738E-6
orange	8.304703190272982E-6
bacon	8.235554081394366E-6
